Number of Records,Avg Temp,Cause Group,Date (Weather.Csv),Date,Duration Precipitation,Humidity,Max Precipitation,Max Sight,Max Temp,Max Windgust,Max Windspeed,Min Humidity,Min Sight,Min Temp,Min Windspeed,Ns Lines,Province,Statistical Cause En,Total Precipitation,Windspeed
1,0,external,03-Jan-11,03-Jan-11,0,100,0,70,3,6,4,90,30,-3,1,Deventer-Amersfoort,Utrecht Gelderland Overijssel,by police orders,0,3
1,1,external,04-Jan-11,04-Jan-11,0,90,0,70,2,11,7,80,40,-1,3,Ede-Wageningen-Amersfoort,Utrecht Gelderland,by police orders,0,5
1,1,external,04-Jan-11,04-Jan-11,0,90,0,70,2,11,7,80,40,-1,3,Roosendaal-Breda,Noord-Brabant,copper theft,0,5
1,1,accidents,04-Jan-11,04-Jan-11,0,90,0,70,2,11,7,80,40,-1,3,Eindhoven-Venlo,Noord-Brabant Limburg,person hit by a train,0,5
1,1,rolling stock,04-Jan-11,04-Jan-11,0,90,0,70,2,11,7,80,40,-1,3,Utrecht Centraal-Leiden Centraal,Zuid-Holland Utrecht,broken down train,0,5
1,1,infrastructure,04-Jan-11,04-Jan-11,0,90,0,70,2,11,7,80,40,-1,3,Dordrecht-Rotterdam C,Zuid-Holland Noord-Brabant,signalling and points failure,0,5
1,1,infrastructure,04-Jan-11,04-Jan-11,0,90,0,70,2,11,7,80,40,-1,3,Almelo-Deventer/Hengelo/Zwolle,Overijssel,points failure,0,5
1,1,rolling stock,04-Jan-11,04-Jan-11,0,90,0,70,2,11,7,80,40,-1,3,Enkhuizen-Amsterdam C/Schiphol,Noord-Holland,broken down train,0,5
1,1,accidents,04-Jan-11,04-Jan-11,0,90,0,70,2,11,7,80,40,-1,3,Utrecht Centraal-Arnhem,Gelderland Utrecht,person hit by a train,0,5
1,0,unknown,05-Jan-11,05-Jan-11,1,80,0,70,3,12,8,70,50,-2,5,Ede-Wageningen-Amersfoort,Utrecht Gelderland,cause yet unknown,1,6
1,0,infrastructure,05-Jan-11,05-Jan-11,1,80,0,70,3,12,8,70,50,-2,5,Leiden Centraal-Den Haag C/Den Haag HS,Zuid-Holland,points failure,1,6
1,0,rolling stock,05-Jan-11,05-Jan-11,1,80,0,70,3,12,8,70,50,-2,5,Schiphol-Amsterdam C/Enkhuizen,Noord-Holland,broken down train,1,6
1,0,rolling stock,05-Jan-11,05-Jan-11,1,80,0,70,3,12,8,70,50,-2,5,Arnhem-Winterswijk,Gelderland,broken down train,1,6
1,0,rolling stock,05-Jan-11,05-Jan-11,1,80,0,70,3,12,8,70,50,-2,5,Winterswijk-Arnhem,Gelderland,broken down train,1,6
1,0,accidents,05-Jan-11,05-Jan-11,1,80,0,70,3,12,8,70,50,-2,5,Zwolle-Groningen/Leeuwarden,Groningen Drenthe Overijssel Friesland,person hit by a train,1,6
1,0,external,05-Jan-11,05-Jan-11,1,80,0,70,3,12,8,70,50,-2,5,Dordrecht-Breda/Roosendaal,Noord-Brabant Zuid-Holland,by order of the fire service,1,6
1,4,rolling stock,06-Jan-11,06-Jan-11,13,100,2,60,7,12,7,90,10,2,2,"Rotterdam C-Amsterdam C, Utrecht Centraal-Amsterdam C/Schiphol",Noord-Holland Utrecht,broken down train,12,4
1,4,rolling stock,06-Jan-11,06-Jan-11,13,100,2,60,7,12,7,90,10,2,2,Den Haag HS-Rotterdam C,Zuid-Holland,broken down train,12,4
1,4,accidents,06-Jan-11,06-Jan-11,13,100,2,60,7,12,7,90,10,2,2,Tilburg-'s-Hertogenbosch/Eindhoven,Noord-Brabant,damaged railway bridge,12,4
1,4,engineering work,06-Jan-11,06-Jan-11,13,100,2,60,7,12,7,90,10,2,2,Heerlen-Maastricht,Limburg,over-running engineering works,12,4
1,4,accidents,06-Jan-11,06-Jan-11,13,100,2,60,7,12,7,90,10,2,2,Enkhuizen-Amsterdam C/Schiphol,Noord-Holland,person hit by a train,12,4
1,4,external,07-Jan-11,07-Jan-11,3,100,1,60,9,10,7,90,10,0,1,Utrecht Centraal-Leiden Centraal,Zuid-Holland Utrecht,copper theft,3,4
1,4,infrastructure,07-Jan-11,07-Jan-11,3,100,1,60,9,10,7,90,10,0,1,Rotterdam C-Dordrecht,Zuid-Holland Noord-Brabant,defective railway track,3,4
1,4,infrastructure,07-Jan-11,07-Jan-11,3,100,1,60,9,10,7,90,10,0,1,Utrecht Centraal-Den Haag C,Zuid-Holland Utrecht,points failure,3,4
1,8,accidents,08-Jan-11,08-Jan-11,4,90,2,70,11,19,12,80,40,4,2,Eindhoven-Tilburg,Noord-Brabant,person hit by a train,4,7
1,8,infrastructure,08-Jan-11,08-Jan-11,4,90,2,70,11,19,12,80,40,4,2,Antwerpen-Centr-Roosendaal,Drenthe,points failure,4,7
1,8,rolling stock,08-Jan-11,08-Jan-11,4,90,2,70,11,19,12,80,40,4,2,Ede-Wageningen-Amersfoort,Utrecht Gelderland,broken down train,4,7
1,8,accidents,08-Jan-11,08-Jan-11,4,90,2,70,11,19,12,80,40,4,2,Leer (Ostfr.)-Groningen,Groningen,damaged railway bridge,4,7
1,8,rolling stock,08-Jan-11,08-Jan-11,4,90,2,70,11,19,12,80,40,4,2,Utrecht Centraal-Amersfoort/Baarn,Utrecht,broken down train,4,7
1,3,infrastructure,09-Jan-11,09-Jan-11,0,90,0,70,6,11,7,80,60,0,3,Schiphol-Leiden Centraal,Zuid-Holland Noord-Holland,points failure,0,5
1,3,infrastructure,09-Jan-11,09-Jan-11,0,90,0,70,6,11,7,80,60,0,3,Roermond-Venlo,Limburg,points failure,0,5
1,3,rolling stock,09-Jan-11,09-Jan-11,0,90,0,70,6,11,7,80,60,0,3,Rotterdam C-Amsterdam C/Utrecht Centraal,Zuid-Holland Noord-Holland Utrecht,broken down train,0,5
1,1,accidents,10-Jan-11,10-Jan-11,0,90,0,70,4,9,6,90,40,-1,3,Maastricht-Eindhoven/Roermond,Limburg,person hit by a train,0,4
1,1,infrastructure,10-Jan-11,10-Jan-11,0,90,0,70,4,9,6,90,40,-1,3,Rotterdam C-Amsterdam C/Utrecht Centraal,Zuid-Holland Noord-Holland Utrecht,points failure,0,4
1,1,engineering work,10-Jan-11,10-Jan-11,0,90,0,70,4,9,6,90,40,-1,3,Rotterdam C-Dordrecht,Zuid-Holland Noord-Brabant,repair works,0,4
1,1,external,10-Jan-11,10-Jan-11,0,90,0,70,4,9,6,90,40,-1,3,Emmen-Zwolle,Drenthe Overijssel,by police orders,0,4
1,1,infrastructure,10-Jan-11,10-Jan-11,0,90,0,70,4,9,6,90,40,-1,3,Emmen-Zwolle,Drenthe Overijssel,points failure,0,4
1,1,rolling stock,10-Jan-11,10-Jan-11,0,90,0,70,4,9,6,90,40,-1,3,Amsterdam C-Hilversum/Lelystad C,Utrecht Noord-Holland Flevoland,broken down train,0,4
1,3,external,11-Jan-11,11-Jan-11,4,90,1,70,6,13,8,80,30,0,4,Roosendaal-Breda,Noord-Brabant,copper theft,2,6
1,3,rolling stock,11-Jan-11,11-Jan-11,4,90,1,70,6,13,8,80,30,0,4,Hengelo-Zutphen,Overijssel Gelderland,broken down train,2,6
1,3,infrastructure,11-Jan-11,11-Jan-11,4,90,1,70,6,13,8,80,30,0,4,Vlissingen-Roosendaal,Noord-Brabant Zeeland,points failure,2,6
1,3,logistical,11-Jan-11,11-Jan-11,4,90,1,70,6,13,8,80,30,0,4,KHbf-Arnhem,Drenthe,an earlier disruption,2,6
