date,ns_lines,statistical_cause_en,cause_group
2011-01-03,Deventer-Amersfoort,by police orders,external
2011-01-04,Ede-Wageningen-Amersfoort,by police orders,external
2011-01-04,Roosendaal-Breda,copper theft,external
2011-01-04,Eindhoven-Venlo,person hit by a train,accidents
2011-01-04,Utrecht Centraal-Leiden Centraal,broken down train,rolling stock
2011-01-04,Dordrecht-Rotterdam C,signalling and points failure,infrastructure
2011-01-04,Almelo-Deventer/Hengelo/Zwolle,points failure,infrastructure
2011-01-04,Enkhuizen-Amsterdam C/Schiphol,broken down train,rolling stock
2011-01-04,Utrecht Centraal-Arnhem,person hit by a train,accidents
2011-01-05,Ede-Wageningen-Amersfoort,cause yet unknown,unknown
2011-01-05,Leiden Centraal-Den Haag C/Den Haag HS,points failure,infrastructure
2011-01-05,Schiphol-Amsterdam C/Enkhuizen,broken down train,rolling stock
2011-01-05,Arnhem-Winterswijk,broken down train,rolling stock
2011-01-05,Winterswijk-Arnhem,broken down train,rolling stock
2011-01-05,Zwolle-Groningen/Leeuwarden,person hit by a train,accidents
2011-01-05,Dordrecht-Breda/Roosendaal,by order of the fire service,external
2011-01-06,"Rotterdam C-Amsterdam C, Utrecht Centraal-Amsterdam C/Schiphol",broken down train,rolling stock
2011-01-06,Den Haag HS-Rotterdam C,broken down train,rolling stock
2011-01-06,Tilburg-'s-Hertogenbosch/Eindhoven,damaged railway bridge,accidents
2011-01-06,Heerlen-Maastricht,over-running engineering works,engineering work
2011-01-06,Enkhuizen-Amsterdam C/Schiphol,person hit by a train,accidents
2011-01-07,Utrecht Centraal-Leiden Centraal,copper theft,external
2011-01-07,Rotterdam C-Dordrecht,defective railway track,infrastructure
2011-01-07,Utrecht Centraal-Den Haag C,points failure,infrastructure
2011-01-08,Eindhoven-Tilburg,person hit by a train,accidents
2011-01-08,Antwerpen-Centr-Roosendaal,points failure,infrastructure
2011-01-08,Ede-Wageningen-Amersfoort,broken down train,rolling stock
2011-01-08,Leer (Ostfr.)-Groningen,damaged railway bridge,accidents
2011-01-08,Utrecht Centraal-Amersfoort/Baarn,broken down train,rolling stock
