date,windspeed,max_windspeed,min_windspeed,max_windgust,avg_temp,min_temp,max_temp,duration_precipitation,total_precipitation,max_precipitation,min_sight,max_sight,humidity,min_humidity
2011-01-01,3.8,5.36,2.32,9.04,2.96,0.16,5.16,2.02,0.78,0.36,12.6,67.6,93.8,84.7
2011-01-02,3.11,4.56,1.88,8.96,1.39,-1.12,4.04,0.47,0.44,0.22,52.8,71.1,90.8,81.8
2011-01-03,2.53,3.84,1.32,6.36,0.37,-2.55,2.59,0.38,0.36,0.2,31.5,66.7,95.5,90.1
2011-01-04,5.32,7.08,2.8,10.76,0.52,-0.79,1.9,0.08,-0.04,-0.05,39.2,67.9,86.0,76.7
2011-01-05,6.44,7.92,4.92,12.4,0.14,-1.51,3.0,1.25,0.67,0.41,45.4,65.2,79.2,70.1
2011-01-06,4.0,7.24,1.76,11.64,4.14,2.23,6.57,12.89,11.57,2.06,10.0,64.6,97.6,92.6
2011-01-07,3.76,6.52,1.12,10.04,4.44,0.05,8.87,3.14,2.86,1.11,5.0,63.0,97.6,92.9
2011-01-08,7.25,12.32,2.48,19.48,8.2,3.87,11.19,3.68,4.11,1.75,45.0,73.7,88.8,76.9
2011-01-09,4.78,7.28,2.72,11.08,3.21,0.1,5.95,0.34,0.24,0.07,58.8,74.4,87.8,75.2
2011-01-10,4.18,5.8,2.52,9.2,1.06,-1.42,4.06,0.0,0.0,0.0,37.1,67.0,93.2,85.8
2011-01-11,6.08,8.0,3.84,12.8,2.94,-0.33,5.78,3.96,2.02,0.81,25.6,67.6,91.6,83.2
2011-01-12,5.14,7.44,2.92,11.4,5.22,2.02,8.55,11.96,10.92,1.8,15.4,65.5,95.2,86.0
2011-01-13,6.24,8.96,3.68,14.08,9.19,7.65,10.68,12.22,11.56,2.01,11.2,63.4,97.5,94.3
2011-01-14,8.1,10.28,5.84,16.04,9.46,7.47,10.98,9.89,8.83,2.06,28.6,67.0,93.5,87.8
2011-01-15,7.66,9.88,5.36,15.2,8.4,6.6,9.61,0.46,0.31,0.21,57.9,71.8,87.0,79.9
2011-01-16,6.83,8.44,5.0,13.04,9.06,6.88,11.92,0.02,0.0,0.0,63.8,75.0,83.8,73.9
2011-01-17,4.82,7.58,2.38,12.42,7.58,4.55,9.22,2.86,1.57,0.59,33.3,69.0,92.3,86.0
2011-01-18,2.77,4.67,0.71,8.0,4.52,2.27,6.41,3.41,5.02,2.08,12.1,68.7,95.1,87.0
2011-01-19,3.29,5.17,2.17,10.17,3.34,1.35,6.09,1.24,2.05,1.42,42.8,68.8,94.2,85.4
2011-01-20,3.49,5.67,1.42,9.04,1.81,-1.63,4.68,0.09,0.01,-0.01,32.0,74.5,89.2,75.1
2011-01-21,2.2,3.92,0.76,6.36,1.1,-2.39,3.8,0.43,0.25,0.16,11.0,65.1,96.0,91.0
2011-01-22,3.67,5.12,2.2,8.76,4.22,1.92,5.87,1.63,0.6,0.26,21.1,66.4,93.7,85.4
2011-01-23,4.08,5.64,1.84,9.52,4.79,2.38,6.21,1.36,0.46,0.19,10.2,64.2,95.6,90.6
2011-01-24,4.28,5.88,2.56,9.72,5.08,3.97,6.46,1.61,0.8,0.39,34.4,66.9,93.7,86.9
2011-01-25,5.32,8.08,1.6,14.08,4.14,0.52,6.27,4.27,3.48,1.24,28.8,70.8,90.4,77.6
2011-01-26,3.07,5.92,0.44,9.24,1.46,-0.73,3.98,0.83,0.41,0.21,31.9,74.8,90.1,76.0
2011-01-27,5.18,6.76,3.76,10.64,-0.44,-2.89,1.59,0.0,-0.02,-0.02,53.6,80.6,79.8,64.4
2011-01-28,4.68,6.32,3.04,9.44,-2.12,-4.19,0.55,0.0,0.0,0.0,55.2,77.4,80.0,68.4
2011-01-29,3.46,5.4,1.92,8.32,-2.7,-5.56,0.66,0.0,0.0,0.0,19.4,57.1,90.9,80.6
2011-01-30,3.02,4.56,1.6,7.52,-1.47,-4.78,0.98,0.0,0.0,0.0,13.9,59.1,93.0,86.6
2011-01-31,1.98,3.12,1.0,5.52,-1.54,-2.73,-0.35,0.0,-0.02,-0.02,29.2,58.0,89.7,83.3
2011-02-01,4.69,6.64,2.48,10.16,-0.56,-3.05,2.32,1.54,0.78,0.5,5.0,50.4,92.8,85.6
2011-02-02,6.5,8.96,3.32,13.84,3.23,1.54,4.5,0.9,0.99,0.73,2.6,53.4,96.8,91.8
2011-02-03,6.32,9.76,3.92,15.16,5.17,2.83,7.3,1.63,1.02,0.68,18.8,64.4,91.3,80.4
2011-02-04,12.21,14.08,9.8,22.08,8.56,5.74,10.05,2.0,1.08,0.35,50.8,67.5,84.6,78.3
2011-02-05,12.74,14.24,11.04,22.4,10.1,9.46,10.79,0.36,0.2,0.08,59.8,69.2,82.6,78.6
2011-02-06,10.9,13.16,8.52,20.44,9.5,8.3,10.74,0.39,0.17,0.06,62.2,74.0,79.4,73.7
